Date,Stock,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),sma_short,sma_long,signal,buy_sell_qty,buy_sell_qty_value,positions_carry_qty,position_carry_val,stock_value,cash,position_total,portfolio_returns,mkt_returns
2004-12-03,TCS,1249.25,1255.9,1221.55,1235.25,1236.75,1222152.0,15138.22,1215.4175000000002,1103.3885714285711,0.0,0.0,0.0,1.0,1048.4,1236.75,-48.40000000000009,1188.35,-0.4898676938536184,-0.4707870593915864
2004-12-06,TCS,1240.0,1250.0,1208.5,1212.9,1214.55,1434234.0,17540.8,1217.6250000000002,1104.9542253521124,0.0,0.0,0.0,1.0,1048.4,1214.55,-48.40000000000009,1166.1499999999999,-1.8681364917743082,-1.7950272892662267
2004-12-07,TCS,1216.0,1232.9,1215.0,1218.0,1218.25,982903.0,12022.62,1220.265,1106.5277777777776,0.0,0.0,0.0,1.0,1048.4,1218.25,-48.40000000000009,1169.85,0.31728336834884185,0.3046395784446876
2004-12-08,TCS,1218.0,1226.6,1196.05,1200.0,1200.8,916176.0,11101.3,1221.0975,1107.8191780821917,0.0,0.0,0.0,1.0,1048.4,1200.8,-48.40000000000009,1152.3999999999999,-1.4916442278924635,-1.4323825159039627
2004-12-09,TCS,1204.95,1217.0,1204.85,1215.0,1211.45,475153.0,5756.6,1222.25,1109.2195945945944,0.0,0.0,0.0,1.0,1048.4,1211.45,-48.40000000000009,1163.05,0.9241582783755753,0.8869087275150012
2004-12-10,TCS,1220.0,1235.5,1214.0,1224.95,1225.65,777101.0,9531.81,1223.815,1110.7719999999997,0.0,0.0,0.0,1.0,1048.4,1225.65,-48.40000000000009,1177.25,1.2209277331155288,1.1721490775516985
2004-12-13,TCS,1226.0,1241.65,1225.25,1238.0,1236.15,624529.0,7710.42,1225.8100000000002,1112.4217105263153,0.0,0.0,0.0,1.0,1048.4,1236.15,-48.40000000000009,1187.75,0.8919091102144838,0.8566882878472626
2004-12-14,TCS,1242.0,1244.7,1230.3,1234.0,1233.15,385438.0,4767.08,1227.6300000000003,1113.9896103896099,0.0,0.0,0.0,1.0,1048.4,1233.15,-48.40000000000009,1184.75,-0.2525784045464108,-0.2426889940541188
2004-12-15,TCS,1244.0,1254.75,1238.0,1246.5,1245.5,721584.0,9001.67,1230.3600000000001,1115.6756410256405,0.0,0.0,0.0,1.0,1048.4,1245.5,-48.40000000000009,1197.1,1.0424140113947988,1.0015002230061132
2004-12-16,TCS,1248.45,1265.0,1238.0,1262.5,1262.65,543808.0,6812.18,1233.2225000000003,1117.5360759493667,0.0,0.0,0.0,1.0,1048.4,1262.65,-48.40000000000009,1214.25,1.4326288530615683,1.376957045363314
2004-12-17,TCS,1260.0,1274.8,1252.1,1257.1,1256.5,688719.0,8704.61,1234.4975000000002,1119.2731249999995,0.0,0.0,0.0,1.0,1048.4,1256.5,-48.40000000000009,1208.1,-0.506485484867214,-0.4870708430681603
2004-12-20,TCS,1260.0,1268.5,1256.5,1261.0,1262.55,283553.0,3579.68,1236.7700000000002,1122.7056249999996,0.0,0.0,0.0,1.0,1048.4,1262.55,-48.40000000000009,1214.1499999999999,0.5007863587451311,0.48149621965778433
2004-12-21,TCS,1264.95,1277.0,1263.15,1272.0,1272.7,432314.0,5492.54,1239.2825000000003,1126.3768749999995,0.0,0.0,0.0,1.0,1048.4,1272.7,-48.40000000000009,1224.3,0.8359757855289862,0.8039285572848609
2004-12-22,TCS,1275.1,1275.1,1230.0,1242.0,1240.15,750214.0,9348.02,1239.5125000000003,1129.8456249999995,0.0,0.0,0.0,1.0,1048.4,1240.15,-48.40000000000009,1191.75,-2.658662092624353,-2.5575548047458097
2004-12-23,TCS,1247.7,1247.7,1225.0,1228.6,1227.85,493614.0,6096.5,1239.2100000000003,1132.8593749999995,0.0,0.0,0.0,1.0,1048.4,1227.85,-48.40000000000009,1179.4499999999998,-1.032095657646337,-0.9918155061887868
2004-12-24,TCS,1232.95,1272.0,1221.55,1270.05,1267.95,832732.0,10442.47,1241.7650000000003,1136.3574999999996,0.0,0.0,0.0,1.0,1048.4,1267.95,-48.40000000000009,1219.55,3.3998897791343463,3.265871238343454
2004-12-27,TCS,1270.0,1285.0,1262.2,1268.3,1270.55,550063.0,7025.37,1243.0975000000003,1139.8906249999995,0.0,0.0,0.0,1.0,1048.4,1270.55,-48.40000000000009,1222.1499999999999,0.21319339100487333,0.20505540439290648
2004-12-28,TCS,1272.0,1314.0,1266.2,1312.05,1309.35,1201806.0,15593.22,1244.8325,1143.8368749999997,0.0,0.0,0.0,1.0,1048.4,1309.35,-48.40000000000009,1260.9499999999998,3.17473305240763,3.0537956003305666
2004-12-29,TCS,1316.95,1336.9,1313.15,1318.65,1320.25,829153.0,10980.01,1247.7675000000002,1147.8668749999997,0.0,0.0,0.0,1.0,1048.4,1320.25,-48.40000000000009,1271.85,0.8644276141004825,0.8324741283843196
2004-12-30,TCS,1318.0,1328.0,1291.85,1297.3,1296.65,703349.0,9191.18,1250.4700000000003,1151.6393749999995,0.0,0.0,0.0,1.0,1048.4,1296.65,-48.40000000000009,1248.25,-1.8555647285450227,-1.7875402385911676
2004-12-31,TCS,1300.0,1338.8,1296.65,1337.0,1335.45,612414.0,8101.47,1255.4050000000002,1155.8874999999994,0.0,0.0,0.0,1.0,1048.4,1335.45,-48.40000000000009,1287.05,3.1083516923693155,2.9923263795164523
2005-01-03,TCS,1335.45,1356.7,1335.45,1352.0,1353.25,591771.0,7968.31,1262.3400000000004,1160.3818749999996,0.0,0.0,0.0,1.0,1048.4,1353.25,-48.40000000000009,1304.85,1.3830076531603286,1.332884046576055
2005-01-04,TCS,1350.0,1354.0,1333.15,1344.2,1341.25,622388.0,8365.14,1268.4900000000002,1164.8981249999995,0.0,0.0,0.0,1.0,1048.4,1341.25,-48.40000000000009,1292.85,-0.9196459363145171,-0.8867541104747856
2005-01-05,TCS,1340.2,1340.2,1280.3,1322.0,1325.0,1200540.0,15763.75,1274.7000000000003,1169.1006249999996,0.0,0.0,0.0,1.0,1048.4,1325.0,-48.40000000000009,1276.6,-1.2569130216188995,-1.2115563839701804
2005-01-06,TCS,1320.0,1346.0,1292.5,1320.0,1320.45,1000861.0,13211.52,1280.1500000000003,1173.0624999999995,0.0,0.0,0.0,1.0,1048.4,1320.45,-48.40000000000009,1272.05,-0.3564154786150686,-0.3433962264150936
2005-01-07,TCS,1330.0,1345.0,1312.65,1340.0,1339.95,952892.0,12709.31,1285.8650000000002,1177.1162499999996,0.0,0.0,0.0,1.0,1048.4,1339.95,-48.40000000000009,1291.55,1.5329586101175297,1.4767692831989088
